;Rank;CCA3;Country;Capital;Continent;Area (km²);Density (per km²);Growth Rate;World Population Percentage;Growth from 1970 to 2020;Growth (70-80);Growth (80-90);Growth (90-00);Growth (00-10);Growth (10-20);Growth (20-22);Population;Year
107;90;GRC;Greece;Athens;Europe;131990;78.68;0.9942;0.13;0.23023853016890947;0.08920846453774094;0.10691857484161636;0.07142649837341436;0.06627294584606838;-0.047268556940081204;-0.012105992333502532;11038109;2000
108;90;GRC;Greece;Athens;Europe;131990;78.68;0.9942;0.13;0.23023853016890947;0.08920846453774094;0.10691857484161636;0.07142649837341436;0.06627294584606838;-0.047268556940081204;-0.012105992333502532;11033783;2010
109;90;GRC;Greece;Athens;Europe;131990;78.68;0.9942;0.13;0.23023853016890947;0.08920846453774094;0.10691857484161636;0.07142649837341436;0.06627294584606838;-0.047268556940081204;-0.012105992333502532;10806641;2015
110;90;GRC;Greece;Athens;Europe;131990;78.68;0.9942;0.13;0.23023853016890947;0.08920846453774094;0.10691857484161636;0.07142649837341436;0.06627294584606838;-0.047268556940081204;-0.012105992333502532;10512232;2020
111;90;GRC;Greece;Athens;Europe;131990;78.68;0.9942;0.13;0.23023853016890947;0.08920846453774094;0.10691857484161636;0.07142649837341436;0.06627294584606838;-0.047268556940081204;-0.012105992333502532;10384971;2022
112;92;PRT;Portugal;Lisbon;Europe;92090;111.5307;0.9981;0.13;0.18593155328686814;0.126861793183059;0.022696809443435897;0.02930647146606103;0.05640967840206993;-0.02740819883946594;-0.0026535725882756898;8683631;1970
113;92;PRT;Portugal;Lisbon;Europe;92090;111.5307;0.9981;0.13;0.18593155328686814;0.126861793183059;0.022696809443435897;0.02930647146606103;0.05640967840206993;-0.02740819883946594;-0.0026535725882756898;9785252;1980
114;92;PRT;Portugal;Lisbon;Europe;92090;111.5307;0.9981;0.13;0.18593155328686814;0.126861793183059;0.022696809443435897;0.02930647146606103;0.05640967840206993;-0.02740819883946594;-0.0026535725882756898;10007346;1990
115;92;PRT;Portugal;Lisbon;Europe;92090;111.5307;0.9981;0.13;0.18593155328686814;0.126861793183059;0.022696809443435897;0.02930647146606103;0.05640967840206993;-0.02740819883946594;-0.0026535725882756898;10300626;2000
116;92;PRT;Portugal;Lisbon;Europe;92090;111.5307;0.9981;0.13;0.18593155328686814;0.126861793183059;0.022696809443435897;0.02930647146606103;0.05640967840206993;-0.02740819883946594;-0.0026535725882756898;10588401;2010
